Date,France,Germany,Korea,US,UK
2020-01-22,0,0,1,1,0
2020-01-23,0,0,1,1,0
2020-01-24,2,0,2,2,0
2020-01-25,3,0,2,2,0
2020-01-26,3,0,3,5,0
2020-01-27,3,1,4,5,0
2020-01-28,4,4,4,5,0
2020-01-29,5,4,4,5,0
2020-01-30,5,4,4,5,0
2020-01-31,5,5,11,7,2
2020-02-01,6,8,12,8,2
2020-02-02,6,10,15,8,2
2020-02-03,6,12,15,11,2
2020-02-04,6,12,16,11,2
2020-02-05,6,12,19,11,2
2020-02-06,6,12,23,11,2
2020-02-07,6,13,24,11,3
2020-02-08,11,13,24,11,3
2020-02-09,11,14,25,11,3
2020-02-10,11,14,27,11,8
2020-02-11,11,16,28,12,8
2020-02-12,11,16,28,12,9
2020-02-13,11,16,28,13,9
2020-02-14,11,16,28,13,9
2020-02-15,12,16,28,13,9
2020-02-16,12,16,29,13,9
2020-02-17,12,16,30,13,9
2020-02-18,12,16,31,13,9
2020-02-19,12,16,31,13,9
2020-02-20,12,16,104,13,9
2020-02-21,12,16,204,15,9
2020-02-22,12,16,433,15,9
2020-02-23,12,16,602,15,9
2020-02-24,12,16,833,15,13
2020-02-25,14,17,977,15,13
2020-02-26,18,27,1261,15,13
2020-02-27,38,46,1766,16,15
2020-02-28,57,48,2337,16,20
2020-02-29,100,79,3150,24,23
2020-03-01,130,130,3736,30,36
2020-03-02,191,159,4335,53,40
2020-03-03,204,196,5186,73,51
2020-03-04,288,262,5621,104,86
2020-03-05,380,482,6088,174,116
2020-03-06,656,670,6593,222,164
2020-03-07,959,799,7041,337,207
2020-03-08,1136,1040,7314,451,274
2020-03-09,1219,1176,7478,519,322
2020-03-10,1794,1457,7513,711,384
2020-03-11,2293,1908,7755,1109,459
2020-03-12,2293,2078,7869,1561,459
2020-03-13,3681,3675,7979,2157,802
2020-03-14,4496,4585,8086,2870,1144
2020-03-15,4532,5795,8162,2968,1145
2020-03-16,6683,7272,8236,4360,1551
2020-03-17,7715,9257,8320,6141,1960
2020-03-18,9124,12327,8413,8914,2642
2020-03-19,10970,15320,8565,14153,2716
2020-03-20,12758,19848,8652,19479,4014
2020-03-21,14463,22213,8799,25818,5067
2020-03-22,16243,24873,8961,33756,5745
2020-03-23,20123,29056,8961,43845,6726
2020-03-24,22622,32986,9037,54108,8164
2020-03-25,25600,37323,9137,66044,9640
2020-03-26,29551,43938,9241,84080,11812
2020-03-27,33402,50871,9332,102254,14745
2020-03-28,38105,57695,9478,122054,17312
2020-03-29,40708,62095,9583,141194,19780
2020-03-30,45170,66885,9661,162690,22453
2020-03-31,52827,71808,9786,188701,25481
2020-04-01,57749,77872,9887,214194,29865
2020-04-02,59929,84794,9976,244593,34173
2020-04-03,65202,91159,10062,276535,38689
2020-04-04,69500,96092,10156,309699,42477
2020-04-05,71412,100123,10237,337573,48436
2020-04-06,75343,103374,10284,367210,52279
2020-04-07,79163,107663,10331,397992,55949
2020-04-08,83057,113296,10384,429686,61474
2020-04-09,87366,118181,10423,464442,65872
2020-04-10,91738,122171,10450,497943,74605
2020-04-11,94863,124908,10480,527958,79874
2020-04-12,121712,127854,10512,556517,85206
